,Title,Developer,Publisher,First released,JP,EU/PAL,NA
84,Air Ranger: Rescue Helicopter,ASK,ASKJP Midas Interactive EntertainmentEU,2001-03-29JP,Released,Released,Unreleased
85,Air Ranger 2: Rescue Helicopter,ASK,ASK,2002-03-28JP,Released,Unreleased,Unreleased
86,Air Ranger 2 Plus: Rescue Helicopter,ASK,ASK,2003-10-30JP,Released,Unreleased,Unreleased
87,AirBlade,Criterion Games,Namco,2001-11-09EU,Unreleased,Released,Released
88,Airborne Troops: Countdown to D-Day,WideScreen Games,Mud Duck Productions,2005-01-07NA,Unreleased,Released,Released
89,Airforce Delta Strike,KCE Studios,Konami,2004-02-03NA,Released,Released,Released
90,The Aka-Champion,Expotato,"D3 Publisher, SCE KoreaKO",2005-12-29JP,Released,Unreleased,Unreleased
91,Akagi: Yami ni Furitatta Tensai,Warashi,D3 Publisher,2002-12-12JP,Released,Unreleased,Unreleased
92,Akai Ito,Success Corporation,Success Corporation,2004-10-21JP,Released,Unreleased,Unreleased
93,Akane Iro ni Somaru Saka: Parallel,Feng,GN Software,2008-08-14JP,Released,Unreleased,Unreleased
94,Akira Psycho Ball,KAZe,Bandai,2002-02-17PAL,Released,Released,Unreleased
95,Akudaikan,Global A,Global A,2002-08-08JP,Released,Unreleased,Unreleased
96,Akudaikan 2: Mousouden,Global A,Global A,2003-07-31JP,Released,Unreleased,Unreleased
97,Akudaikan 3,Global A,Global A,2007-03-01JP,Released,Unreleased,Unreleased
98,Alan Hansen's Sports Challenge,The Code Monkeys,Oxygen Interactive,2007-10-26PAL,Unreleased,Released,Unreleased
99,Alarm for Cobra 11 Vol. 2: Hot Pursuit,Davilex,Midas Interactive Entertainment,2005-06-10EU,Unreleased,Released,Unreleased
100,Alex Ferguson's Player Manager 2001,Anco Software,"3DO, Ubisoft",2001-09-21PAL,Unreleased,Released,Unreleased
101,Alfa Romeo Racing Italiano,Milestone,Valcon Games,2005-06-24EU,Unreleased,Released,Released
102,Alias,Acclaim Studios Cheltenham,Acclaim Entertainment,2004-04-05NA,Unreleased,Released,Released
103,Alien Hominid,The Behemoth,"O3 Entertainment, Zoo Digital PublishingEU",2004-11-21NA,Unreleased,Released,Released
104,Aliens in the Attic,Revistronic,Playlogic,2009-08-04AU,Unreleased,Released,Released
105,Aliens Versus Predator: Extinction,Zono,Electronic Arts,2003-07-30NA,Unreleased,Released,Released
106,All Star Fighters,D3 Publisher,"D3 PublisherJP, Essential GamesPAL",2005-12-15JP,Released,Released,Unreleased
107,All Star Pro-Wrestling,Square,Square,2000-06-08JP,Released,Unreleased,Unreleased
108,All Star Pro-Wrestling II,Square,Square,2001-11-22JP,Released,Unreleased,Unreleased
109,All Star Pro-Wrestling III,Square,Square,2003-08-07JP,Released,Unreleased,Unreleased
110,All-Star Baseball 2002,Acclaim Studios Austin,Acclaim Entertainment,2001-03-12NA,Released,Released,Released
111,All-Star Baseball 2003,Acclaim Studios Austin,Acclaim Entertainment,2002-02-26NA,Released,Released,Released
112,All-Star Baseball 2004,Acclaim Studios Austin,Acclaim Entertainment,2003-03-01NA,Unreleased,Released,Released
113,All-Star Baseball 2005,Acclaim Studios Austin,Acclaim Entertainment,2004-04-08NA,Unreleased,Unreleased,Released
114,Alone in the Dark,Hydravision Entertainment,Atari,2008-06-20EU,Unreleased,Released,Released
115,Alone in the Dark: The New Nightmare,Spiral House,Infogrames,2001-09-28PAL,Unreleased,Released,Unreleased
116,Alpine Racer 3,Namco,"NamcoJP, Sony Computer EntertainmentEU",2002-03-28JP,Released,Released,Unreleased
117,Alpine Ski Racing 2007,49Games,RTL PlaytainmentJoWooD Productions,2006-12-04PAL,Unreleased,Released,Unreleased
118,Alpine Skiing 2005,49Games,RTL PlaytainmentMidas Interactive Entertainment,2005-06-10PAL,Unreleased,Released,Unreleased
119,Alter Echo,Outrage Games,THQ,2003-08-19NA,Unreleased,Released,Released
120,Altered Beast,Wow Entertainment,Sega,"2005-01-27JP,KO",Released,Released,Unreleased
121,Alvin and the Chipmunks,Brash Entertainment,Brash Entertainment,2007-12-04NA,Unreleased,Released,Released
122,Amagami,Enterbrain,Enterbrain,2009-03-19JP,Released,Unreleased,Unreleased
123,Amagoushi no Yakata,Fog,Nippon Ichi Software,2007-03-08JP,Released,Unreleased,Unreleased
124,America Oudan Ultra-Quiz,DigiCube,DigiCube,2002-03-28JP,Released,Unreleased,Unreleased
125,American Chopper,Creat Studio,"Activision Value, Zoo Digital PublishingEU",2004-11-25NA,Unreleased,Released,Released
126,American Chopper 2: Full Throttle,Creat Studio,"Activision, Zoo Digital PublishingEU, Activisi...",2005-11-20NA,Unreleased,Released,Released
127,American Idol,Hothouse Creations,Codemasters,2003-11-07EU,Unreleased,Released,Released
128,American Pool II,Phoenix Games,Phoenix Games,2007-03-09PAL,Unreleased,Released,Unreleased
129,AMF Xtreme Bowling,Mud Duck Productions,"Mud Duck Productions, MastertronicEU",2006-06-13NA,Unreleased,Released,Released
130,Amplitude,Harmonix Music Systems,Sony Computer Entertainment,2003-03-24NA,Unreleased,Released,Released
131,An American Tail,Data Design Interactive,Blast! Entertainment Ltd,2007-07-12AU,Unreleased,Released,Unreleased
132,AND 1 Streetball,Black Ops Entertainment,Ubisoft,2006-06-06NA,Unreleased,Released,Released
133,Angel Profile,GeneX,CyberFront,2007-09-27JP,Released,Unreleased,Unreleased
134,Angel Wish: Kimi no Egao ni Chu!,Pionesoft,Pionesoft,2005-02-24JP,Released,Unreleased,Unreleased
135,Angel's Feather,KID,KID,2004-03-11JP,Released,Unreleased,Unreleased
136,Angel's Feather: Kuro no Zanei,Blue Impact,GN Software,2005-06-30JP,Released,Unreleased,Unreleased
137,Angelic Concert,Success Corporation,Success Corporation,2003-03-13JP,Released,Unreleased,Unreleased
138,Angelique Etoile,Koei,Koei,2004-09-16JP,Released,Unreleased,Unreleased
139,Angelique Trois,Koei/Inis,Koei,2000-11-22JP,Released,Unreleased,Unreleased
140,Angelique Trois: Aizouhen,Koei/Inis,Koei,2001-07-26JP,Released,Unreleased,Unreleased
141,Animal Soccer World,The Code Monkeys,Phoenix Games,2005PAL,Unreleased,Released,Unreleased
142,Animaniacs: The Great Edgar Hunt,Warthog,Ignition Entertainment,2005-06-24PAL,Unreleased,Released,Unreleased
143,Anime Eikaiwa: 15 Shounen Hyouryuuhen,Success Corporation,Success Corporation,2001-08-30JP,Released,Unreleased,Unreleased
144,Anime Eikaiwa: Tondemo Nezumi Daikatsuyaku,Success Corporation,Success Corporation,2001-08-30JP,Released,Unreleased,Unreleased
145,Anime Eikaiwa: Totoi,Success Corporation,Success Corporation,2001-08-30JP,Released,Unreleased,Unreleased
146,The Ant Bully,Artificial Mind and Movement,Midway Games,2006-07-24NA,Unreleased,Released,Released
147,Antz Extreme Racing,Supersonic Software,Empire Interactive,2002-07-26EU,Unreleased,Released,Released
148,Anubis II,Data Design Interactive,Metro 3D,2005-07-14PAL,Unreleased,Released,Unreleased
149,Anya Nisasayaku,Idea Factory,Idea Factory,2006-02-09JP,Released,Unreleased,Unreleased
150,Aoi no Mamade...,Idea Factory,Idea Factory,2004-10-28JP,Released,Unreleased,Unreleased
151,Aoi Sora no Neosphere,Kogado Studio,Nippon Ichi Software,2007-02-22JP,Released,Unreleased,Unreleased
152,Aoi Umi no Tristia,Kogado Studio,Nippon Ichi Software,2005-08-11JP,Released,Unreleased,Unreleased
153,Aoishiro,Success Corporation,Success Corporation,2008-05-15JP,Released,Unreleased,Unreleased
154,Aoitenryuu: The Arcade,DigiCube,DigiCube,2003-03-27JP,Released,Unreleased,Unreleased
155,Ape Escape 2,Sony Computer Entertainment,"Sony Computer Entertainment, UbisoftNA",2002-07-18JP,Released,Released,Released
156,Ape Escape 3,Sony Computer Entertainment,Sony Computer Entertainment,2005-07-12AS,Released,Released,Released
157,Ape Escape: Pumped & Primed,Japan Studio,"Sony Computer EntertainmentJP, UbisoftNA",2004-07-01JP,Released,Unreleased,Released
158,Apocripha/0,GN Software,GN Software,2004-10-28JP,Released,Unreleased,Unreleased
159,Appleseed EX,DreamFactory,Sega,2007-02-15JP,Released,Unreleased,Unreleased
160,Aqua Aqua,Zed Two Limited,"ImagineerJP, 3DOEU,NA",2000-11-02JP,Released,Released,Released
161,Aqua Kids,Cinepix,Yuke's,2004-08-12JP,Released,Unreleased,Unreleased
162,Aqua Teen Hunger Force Zombie Ninja Pro-Am,Creat Studio,Midway Games,2007-11-05NA,Unreleased,Released,Released
163,Ar tonelico: Melody of Elemia,Gust,"BanprestoJP, NIS AmericaNA, 505 GamesEU",2006-01-26JP,Released,Released,Released
164,Ar tonelico II: Melody of Metafalica,Gust,"BanprestoJP, NIS AmericaNA,EU",2007-10-25JP,Released,Released,Released
165,Arabians Lost: The Engagement on Desert,QuinRose,"Prototype, QuinRose",2007-10-11JP,Released,Unreleased,Unreleased
166,Arc the Lad: End of Darkness,Cattle Call,"Sony Computer EntertainmentJP, NamcoNA",2004-11-03JP,Released,Unreleased,Released
167,Arc the Lad: Twilight of the Spirits,Cattle Call,Sony Computer Entertainment,2003-03-20JP,Released,Released,Released
168,Arcade Action: 30 Games,SG Diffusion,Phoenix Games,2004-11-19PAL,Unreleased,Released,Unreleased
169,Arcade Classics Volume One,Play It!,Play It!,2006-04-21PAL,Unreleased,Released,Unreleased
170,Arcade USA,Mere Mortals,Phoenix Games,2006-04-21AU,Unreleased,Released,Unreleased
171,Arcana Heart,Konami Examu Entertainment inc.,"AQ InteractiveJP, AtlusUS",2007-10-11JP,Released,Unreleased,Released
172,Arcobaleno!,Idea Factory,Idea Factory,2009-05-14JP,Released,Unreleased,Unreleased
173,Arctic Thunder,Inland Productions,Midway Games,2001-09-17NA,Unreleased,Released,Released
174,Are You Smarter Than a 5th Grader: Make the Grade,ImaginEngine,THQ,2008-10-20NA,Unreleased,Unreleased,Released
175,Area 51,Midway Studios Austin,"Midway GamesNA,PAL, Success CorporationJP",2005-04-25NA,Released,Released,Released
